# 
# ID	X(Mpc)	Y(Mpc)	Z(Mpc)	Vx(km/s)	Vy(km/s)	Vz(km/s)	Vmax(km/s)	Vpeak(km/s)	Mvir(Msun)	Mpeak(Msun)	Rvir(kpc)	Rmax(kpc)	apeak	Mstar_preferred(Msun)	Mstar_Behroozi2013(Msun)	npart	PID	UpID
# 
55778773 34.63477 34.82792 36.17396   15.36  -57.86   -7.88   17.68   17.70 9.3577e+08 9.3803e+08 25.48732 2.28849 0.97340   32374 6.3365e+05    38809       -1       -1
55726272 34.79570 34.42634 34.34559   86.10 -116.44  129.54   16.42   15.66 9.3141e+08 9.4324e+08 25.44789 2.19125 0.69460   32085 6.2949e+05    41022       -1       -1
55761865 35.18592 35.17004 34.70301   54.47    2.15  136.21   19.34   17.98 9.0437e+08 1.0325e+09 25.19859 2.43616 0.53520   30320 6.0384e+05    41284       -1       -1
55726402 34.49344 34.52673 34.09638   79.03 -132.60  133.42   19.90   19.90 9.0127e+08 9.0127e+08 25.16901 2.52925 1.00000   30121 6.0092e+05    37968       -1       -1
55839003 35.13801 35.29017 35.47531    9.59 -135.13   29.83   23.41   37.94 9.0028e+08 6.3803e+09 25.16056 3.11383 0.31610 1.2901e+06 9.4936e+06   123887 55819864 55819864
55726311 35.29373 34.84692 34.23424  -32.40 -115.43  142.25   16.21   16.21 8.9282e+08 8.9282e+08 25.09155 4.32925 1.00000   29581 5.9298e+05    39605       -1       -1
56012756 35.36011 34.83541 34.15693  -45.48 -110.12  133.39   13.15   14.01 8.6775e+08 8.9873e+08 24.85493 14.99904 0.97340   28007 5.6961e+05    19837       -1       -1
55836881 35.30120 35.29808 35.30073  -34.09 -149.47 -168.94   20.73   23.97 8.569e+08 1.9239e+09 24.74930 2.14375 0.40570 1.2918e+05 1.7524e+06    85983 55819864 55819864
55779107 34.87451 35.18652 35.43825   64.35    2.60  -70.26   16.96   16.96 8.293e+08 8.293e+08 24.48169 2.76122 1.00000   25673 5.3431e+05    35021       -1       -1
56027391 35.75825 34.32046 34.31480  -27.41  -71.28   54.39   17.22   17.22 8.1845e+08 8.1845e+08 24.37465 4.26137 1.00000   25032 5.2447e+05    33013       -1       -1
55749470 35.29108 34.92139 34.68193  -43.29   17.80   91.51   15.34   15.34 7.9817e+08 7.9817e+08 24.17042 4.33612 1.00000   23855 5.0622e+05    38665       -1       -1
56027311 36.12092 35.88508 34.89285  -40.96 -103.83   84.71   16.18   16.13 7.7831e+08 7.8761e+08 23.96901 3.47130 0.90700   22728 4.8853e+05    32547       -1       -1
55838528 35.24958 35.42741 35.26997   18.90 -105.98    5.71   24.84   32.71 7.6873e+08 3.1775e+09 23.87042 2.09120 0.41900 3.3845e+05 3.5562e+06    59340 55819864 55819864
56075780 35.39348 35.29882 35.44376  106.63 -133.41    0.15   20.84   21.65 7.6592e+08 1.0051e+09 23.84085 2.41720 0.73440   37134 7.0089e+05    53769 55819864 55819864
55734067 35.31863 34.67351 34.55910    3.18 -116.31  153.05   21.51   24.16 7.5634e+08 1.9056e+09 23.74085 2.25829 0.62820   21512 4.6917e+05    44641 56047886 56047886
56051155 35.43792 34.65585 35.13223   34.92  -60.99  102.35   17.75   17.64 7.3606e+08 7.4141e+08 23.52817 1.93946 0.93360   20419 4.5151e+05    29067       -1       -1
55816261 35.31604 35.22024 35.08035   32.97 -106.04 -116.24   20.99   32.30 7.3577e+08 3.7141e+09 23.52394 1.98178 0.36590 4.5666e+05 4.4312e+06   130193 55767044 55819864
